majortopic,text,chamber,party,pass_h,pass_s,bill_id,year,cong
1.0,A bill to amend the Internal Revenue Code of 1954 to impose a minimum tax on individuals and corporations.,1,100.0,0.0,0.0,99-HR-18,1985,99
1.0,A bill to amend the Internal Revenue Code of 1954 to reduce the maximum individual income rate to 50 percent.,1,100.0,0.0,0.0,97-HR-2385,1981,97
1.0,"To amend the Internal Revenue Code of 1954 to permit taxpayers in qualified States to claim a credit against Federal income tax for 40 percent of the net cost of State income taxes and State general sales taxes, to transfer to the several States the responsibility for certain Federal education and welfare programs, and for other purposes",1,100.0,0.0,0.0,92-HR-618,1971,92
1.0,To regulate and prevent multiple taxation of certain kinds of income,1,100.0,0.0,0.0,91-HR-8189,1969,91
1.0,"To amend section 2412(b), title 28, United States Code, with respect to the taxation of costs",1,100.0,0.0,0.0,86-HR-4153,1959,86
1.0,"To amend the American Recovery and Reinvestment Act of 2009 and the Internal Revenue Code of 1986 to make funds and tax benefits available to assist job creation and workforce diversification in the golf industry, and for other purposes.",1,100.0,0.0,0.0,111-H-5878,2010,111
1.0,To amend the Internal Revenue Code of 1954 to allow the cost of Industrial or commercial plants and facilities constructed or established in the Appalachian region to be amortized at an accelerated rate for income tax purposes,1,200.0,0.0,0.0,88-HR-12170,1964,88
1.0,A bill to amend the Internal Revenue Code of 1986 to adjust the limits on expensing of certain depreciable business assets.,2,100.0,0.0,0.0,113-S-1298,2013,113
1.0,"A bill to amend the Export Administration Act of 1969, to permit the President to use export controls to curtail serious inflation in domestic prices.",2,200.0,0.0,0.0,93-S-2053,1973,93
1.0,"To authorize private transactions involving the sale, acquisition, or holding of gold within the United States, its Territories and possessions. and for other purposes",1,200.0,0.0,0.0,85-HR-13086,1958,85
1.0,To amend the Balanced Budget and Emergency Control Act of 1985 with respect to the treatment of actions occurring after a final sequestration report and to establish additional points of order under the Congressional Budget Act of 1974.,1,100.0,0.0,0.0,101-HR-3837,1989,101
1.0,A bill to provide that no Federal income tax shall be imposed on amounts received by Holocaust victims.,2,200.0,0.0,0.0,105-S-2549,1998,105
1.0,A bill to provide that revenues derived from the crude oil windfall profit tax shall be used to reduce the national debt.,1,100.0,0.0,0.0,97-HR-1222,1981,97
1.0,To amend the Internal Revenue Code of 1954 to provide that the manufacturers excise tax on musical instruments shall not apply to the first $150 of the price of any such instrument,1,100.0,0.0,0.0,86-HR-7725,1959,86
1.0,"To amend title 31, United States Code, to require the Secretary of the Treasury to provide for the purchase of paper United States savings bonds with tax refunds.",1,100.0,0.0,0.0,113-HR-3385,2013,113
1.0,"A bill to amend the Internal Revenue Code of 1954 to provide that the valuation of a decedent's interest in a ranch, farm, or closely held business may at the election of the executor be determined, for estate tax purposes, solely by reference to its value for such use.",1,200.0,0.0,0.0,93-HR-8635,1973,93
1.0,To terminate application of sequestration to payment for certain physician-administered drugs under part B of the Medicare program.,1,200.0,0.0,0.0,113-HR-1416,2013,113
1.0,"A bill to amend the Internal Revenue Code of 1954 with respect to the tax treatment of earned income of United States citizens and resident aliens from sources without the United States, and for other purposes.",1,200.0,0.0,0.0,95-HR-11977,1978,95
1.0,"To amend the Internal Revenue Code of 1986 to provide for the deductibility of charitable contributions to agricultural research organizations, and for other purposes.",1,200.0,0.0,0.0,113-HR-2671,2013,113
1.0,"To amend the Internal Revenue Code of 1954, and for other purposes",1,100.0,0.0,0.0,91-HR-19476,1970,91
1.0,"A bill to amend the Internal Revenue Code of 1986 to comply with the World Trade Organization rulings on the FSC/ETI benefit in a manner that preserves manufacturing jobs and production activities in the United States, and for other purposes.",2,200.0,0.0,0.0,108-S-1922,2003,108
