majortopic,text,chamber,party,pass_h,pass_s,bill_id,year,cong,label,senate,democrat,q_gpt3_0shot,ppos_gpt3_0shot,ptotal_gpt3_0shot,q_gpt3_5shot,ppos_gpt3_5shot,ptotal_gpt3_5shot,dw1,Postal,dist_macro
1.0,A bill to amend the Internal Revenue Code of 1954 to impose a minimum tax on individuals and corporations.,1,100.0,0.0,0.0,99-HR-18,1985,99,True,False,True,True,1.0,0.9444135257054158,True,0.9999311408970506,0.9995302376759201,-0.08,FL,0.7331729233264923
1.0,A bill to amend the Internal Revenue Code of 1954 to reduce the maximum individual income rate to 50 percent.,1,100.0,0.0,0.0,97-HR-2385,1981,97,True,False,True,True,1.0,0.9388720890748998,True,0.9996434007982574,0.9996123662103749,-0.469,MI,0.6824447512626648
1.0,"To amend the Internal Revenue Code of 1954 to permit taxpayers in qualified States to claim a credit against Federal income tax for 40 percent of the net cost of State income taxes and State general sales taxes, to transfer to the several States the responsibility for certain Federal education and welfare programs, and for other purposes",1,100.0,0.0,0.0,92-HR-618,1971,92,True,False,True,False,0.24764339032990068,0.8893450178800228,True,0.9984165214238582,0.9988525803006684,0.29,TX,0.7226682603359222
1.0,To regulate and prevent multiple taxation of certain kinds of income,1,100.0,0.0,0.0,91-HR-8189,1969,91,True,False,True,True,0.9979054060771216,0.9424989968199756,True,0.9999392256710598,0.9993872673272431,-0.29,IA,0.6550049185752869
1.0,"To amend section 2412(b), title 28, United States Code, with respect to the taxation of costs",1,100.0,0.0,0.0,86-HR-4153,1959,86,True,False,True,False,0.0,0.925987112760596,False,0.0043092051288842505,0.9995036399551015,-0.518,NY,0.7175575792789459
1.0,"To amend the American Recovery and Reinvestment Act of 2009 and the Internal Revenue Code of 1986 to make funds and tax benefits available to assist job creation and workforce diversification in the golf industry, and for other purposes.",1,100.0,0.0,0.0,111-H-5878,2010,111,True,False,True,True,0.9996189054777465,0.9454509436137903,True,0.9305221170956286,0.9987542394407974,-0.415,SC,0.6730212867259979
1.0,To amend the Internal Revenue Code of 1954 to allow the cost of Industrial or commercial plants and facilities constructed or established in the Appalachian region to be amortized at an accelerated rate for income tax purposes,1,200.0,0.0,0.0,88-HR-12170,1964,88,True,False,False,True,0.9974014517939156,0.950665296090961,True,0.9997266402168562,0.9991740847122568,0.351,TN,0.665306806564331
1.0,A bill to amend the Internal Revenue Code of 1986 to adjust the limits on expensing of certain depreciable business assets.,2,100.0,0.0,0.0,113-S-1298,2013,113,True,True,True,True,0.9918324212222691,0.93792561883915,True,0.999352894529093,0.9996599192771698,-0.278,AK,0.7208885252475739
1.0,"A bill to amend the Export Administration Act of 1969, to permit the President to use export controls to curtail serious inflation in domestic prices.",2,200.0,0.0,0.0,93-S-2053,1973,93,True,True,False,True,0.6320649202518037,0.8722405383089582,True,0.9974546797467756,0.9994622453007713,0.453,TX,0.6063385903835297
1.0,"To authorize private transactions involving the sale, acquisition, or holding of gold within the United States, its Territories and possessions. and for other purposes",1,200.0,0.0,0.0,85-HR-13086,1958,85,True,False,False,True,0.755483546315542,0.8475957525554362,False,0.003513388517380076,0.9996130924942256,0.184,CO,0.7539280652999878
1.0,To amend the Balanced Budget and Emergency Control Act of 1985 with respect to the treatment of actions occurring after a final sequestration report and to establish additional points of order under the Congressional Budget Act of 1974.,1,100.0,0.0,0.0,101-HR-3837,1989,101,True,False,True,False,0.0,0.9685713646593874,True,0.9915249642636579,0.9979888341566661,-0.353,NY,0.6676771640777588
1.0,A bill to provide that no Federal income tax shall be imposed on amounts received by Holocaust victims.,2,200.0,0.0,0.0,105-S-2549,1998,105,True,True,False,False,0.12470208671439949,0.9216895240975894,False,0.010551197689841842,0.9995964818354091,0.177,NY,0.7935819625854492
1.0,A bill to provide that revenues derived from the crude oil windfall profit tax shall be used to reduce the national debt.,1,100.0,0.0,0.0,97-HR-1222,1981,97,True,False,True,True,1.0,0.9414450634373368,True,0.9998733940492046,0.9990629839293061,-0.2,TX,0.6562508642673492
1.0,To amend the Internal Revenue Code of 1954 to provide that the manufacturers excise tax on musical instruments shall not apply to the first $150 of the price of any such instrument,1,100.0,0.0,0.0,86-HR-7725,1959,86,True,False,True,False,0.09100527061024505,0.8845116053626254,False,0.44923430270525694,0.9986321896555814,-0.465,IN,0.7101592421531677
1.0,"To amend title 31, United States Code, to require the Secretary of the Treasury to provide for the purchase of paper United States savings bonds with tax refunds.",1,100.0,0.0,0.0,113-HR-3385,2013,113,True,False,True,False,0.0002044201981182572,0.9646257158440188,True,0.7628718895737324,0.9992835533986593,-0.4,PA,0.7220215201377869
1.0,"A bill to amend the Internal Revenue Code of 1954 to provide that the valuation of a decedent's interest in a ranch, farm, or closely held business may at the election of the executor be determined, for estate tax purposes, solely by reference to its value for such use.",1,200.0,0.0,0.0,93-HR-8635,1973,93,True,False,False,False,0.0006628913040117904,0.9779209180586413,False,0.41331274401330864,0.9983407281957455,0.032,NY,0.72730952501297
1.0,To terminate application of sequestration to payment for certain physician-administered drugs under part B of the Medicare program.,1,200.0,0.0,0.0,113-HR-1416,2013,113,True,False,False,False,0.0,0.9631846627197675,True,0.750220109727232,0.9990527557647455,0.571,NC,0.7772615998983383
1.0,"A bill to amend the Internal Revenue Code of 1954 with respect to the tax treatment of earned income of United States citizens and resident aliens from sources without the United States, and for other purposes.",1,200.0,0.0,0.0,95-HR-11977,1978,95,True,False,False,True,0.9978321654320434,0.9330372113423208,True,0.9996218135663509,0.9996006529815119,0.565,CA,0.721523642539978
1.0,"To amend the Internal Revenue Code of 1986 to provide for the deductibility of charitable contributions to agricultural research organizations, and for other purposes.",1,200.0,0.0,0.0,113-HR-2671,2013,113,True,False,False,False,0.00022574397621436259,0.9746109136625638,True,0.974200193107654,0.9995266839247806,0.711,CA,0.791264533996582
1.0,"To amend the Internal Revenue Code of 1954, and for other purposes",1,100.0,0.0,0.0,91-HR-19476,1970,91,True,False,True,True,1.0,0.9331448625140568,True,0.9994937799362947,0.9986223245809507,-0.46,MI,0.7255424559116364
1.0,"A bill to amend the Internal Revenue Code of 1986 to comply with the World Trade Organization rulings on the FSC/ETI benefit in a manner that preserves manufacturing jobs and production activities in the United States, and for other purposes.",2,200.0,0.0,0.0,108-S-1922,2003,108,True,True,False,False,0.4324341439831143,0.8638533655973353,True,0.9990821035001236,0.9993071590578229,0.159,OR,0.6076416075229645
1.0,A bill providing an equitable basis for the sale to collectors of standard sliver dollars now held in the Treasury.,2,100.0,0.0,0.0,88-S-2749,1964,88,True,True,True,False,0.0002279147145946047,0.9721346627272347,False,0.00036039857995293057,0.9997160127669096,-0.436,UT,0.7280115783214569
1.0,To amend the Internal Revenue Code of 1986 to exclude from personal holding company income dividends which are received from foreign affiliates and which are reinvested in the United States.,1,100.0,0.0,0.0,111-H-5473,2010,111,True,False,True,False,0.00018919100900900812,0.9737491288511937,True,0.9977500575005587,0.9997241569478951,-0.507,CA,0.7156892716884613
1.0,A bill to amend the Internal Revenue Code of 1954 to provide a simplified capital cost recovery method with only 3 classes of personal property which combines the investment credit with the depreciation deduction in a first-year allowance.,1,100.0,0.0,0.0,97-HR-3500,1981,97,True,False,True,True,0.9933619555478688,0.9143497419276065,True,0.9812772755886536,0.9991877138108975,-0.255,HI,0.7616896778345108
