,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.955313179641962,1,1,0,0,0,0,0,0,0,0,1,0
1,0,0.9424385651946068,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0.8405623286962509,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0.8534031510353088,1,1,1,0,0,1,0,0,0,0,1,0
4,0,0.8979654461145401,1,1,0,0,0,0,0,0,0,0,1,0
5,0,0.9512264281511307,0,1,1,0,0,0,0,0,0,0,0,0
6,0,1.0927077010273933,1,1,0,0,0,0,0,0,0,1,1,0
7,0,0.8131189346313477,1,0,0,0,0,0,0,0,0,1,1,0
8,0,0.883171983063221,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.7719329297542572,1,1,0,0,0,0,0,0,0,0,1,0
10,0,0.8632714748382568,1,1,1,0,0,0,0,0,0,0,1,0
11,0,0.8897585570812225,1,1,0,1,0,1,0,0,0,0,1,1
12,0,0.9451273381710052,1,1,0,0,0,0,0,0,0,0,1,0
13,0,0.8765670508146286,1,1,0,0,0,1,0,0,0,0,1,0
14,0,0.8702400624752045,1,1,0,0,0,0,1,0,0,1,1,1
15,0,0.674876481294632,1,1,0,0,0,0,0,0,0,0,0,1
16,0,0.9649760164320469,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0.896866999566555,1,1,0,0,0,0,0,0,0,1,1,0
18,0,0.8861307427287102,0,0,0,0,0,0,0,0,0,1,1,1
19,0,0.9969254957977682,1,1,1,0,0,0,0,0,0,0,1,0
20,0,1.0080385375767946,1,0,0,0,0,0,0,0,0,0,1,0
21,0,0.9649089947342873,1,1,0,0,0,0,0,0,0,0,1,0
22,0,0.8793909102678299,1,0,0,0,0,0,0,0,0,0,1,1
23,0,0.9760940074920654,1,0,0,0,0,0,0,0,0,0,1,0
24,0,1.015051269903779,1,0,0,0,0,0,1,1,0,0,1,0
25,0,0.9153361618518829,1,0,0,0,0,0,0,0,0,0,1,0
26,0,0.9658794440329075,1,1,0,0,0,0,0,0,0,0,0,0
27,0,1.0668346881866455,1,0,0,0,0,0,0,0,0,0,0,0
28,0,0.845515713095665,0,0,0,0,0,0,0,0,0,0,1,1
29,0,0.8947704434394836,1,0,0,0,0,0,0,0,0,0,1,0
30,0,0.9021927937865257,1,1,1,0,0,0,0,0,0,0,1,0
31,0,0.7639478892087936,1,1,0,0,0,0,0,0,0,1,1,1
32,0,1.0050343167968094,0,0,0,0,0,0,0,0,0,1,1,1
