,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.8218436390161514,1,0,1,1,1,1,1,0,1,1,1,0
1,0,0.8190237432718277,1,0,0,1,1,1,1,0,1,1,1,0
2,0,0.8455216884613037,1,0,0,0,1,1,1,0,0,0,1,0
3,0,0.8526463508605957,1,0,0,1,1,1,1,0,0,1,1,0
4,0,0.9025858864188194,1,0,0,1,1,1,1,0,1,1,1,0
5,0,0.9634864591062069,1,0,0,0,1,1,1,0,1,1,1,1
6,0,0.962634701281786,1,0,1,1,1,1,1,0,0,0,1,0
7,0,0.8615107387304306,1,0,0,1,1,1,1,0,1,1,1,0
8,0,0.9033837765455246,1,0,0,0,1,1,1,0,1,1,1,1
9,0,0.8038777112960815,1,0,0,0,1,0,1,0,1,1,1,0
10,0,0.9201412871479988,1,0,0,1,1,0,0,0,1,1,1,0
11,0,0.8771466314792633,1,0,0,1,1,1,1,0,0,1,1,0
12,0,0.8073983192443848,1,0,0,0,1,1,1,0,0,0,1,0
13,0,0.8624508529901505,1,0,1,1,1,1,1,0,1,1,1,0
14,0,0.9707968700677156,1,0,0,1,1,1,1,0,1,0,1,0
15,0,0.9085915386676788,1,0,0,1,1,1,1,1,0,1,1,1
16,0,0.8834540471434593,1,0,0,0,1,1,1,1,1,1,1,0
17,0,0.8746103793382645,1,0,1,1,1,1,1,0,1,1,1,0
18,0,0.8522066920995712,1,0,0,0,1,1,1,0,0,1,1,0
19,0,0.9120080024003983,1,0,0,0,1,1,1,0,1,1,1,0
20,0,0.7966443598270416,1,0,0,0,1,1,1,0,1,1,1,0
21,0,0.859418973326683,1,0,1,1,1,1,1,0,1,1,1,0
22,0,0.852926105260849,1,0,0,1,1,1,1,0,1,1,1,1
23,0,0.884753443300724,1,0,1,0,1,1,1,0,0,1,1,1
24,0,0.8392132520675659,1,0,1,1,1,1,1,0,1,1,1,0
25,0,0.8834509700536728,1,0,1,1,1,1,1,1,1,1,1,1
26,0,0.9676664061844349,1,0,1,1,1,0,1,0,0,1,1,1
