,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.863229438662529,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0.6534051299095154,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.9047914072871208,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,0.8639311492443085,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.9174227863550186,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0.9063559919595718,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,1.0252826418727636,0,0,0,1,0,0,0,1,0,0,0,0,0
7,0,0.8531443923711777,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.8904241546988487,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.9317547678947449,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0.8310581594705582,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0.8060972839593887,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.929117001593113,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.9097572341561317,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.9554241858422756,0,0,0,0,0,0,0,1,0,0,0,0,1
15,0,0.9361700788140297,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0,0.9422511160373688,0,0,1,1,0,1,0,1,0,0,0,0,1
17,0,0.8563540726900101,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0.792174756526947,0,1,1,1,1,1,0,0,0,0,0,0,1
19,0,0.8871036246418953,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.8660967200994492,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.8598338812589645,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.7974225729703903,0,1,0,1,0,1,0,0,0,0,0,0,1
