,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,1,0.8432207703590393,0,0,0,0,1,1,1,0,1,0,1,1,0
1,1,0.7579401880502701,1,0,0,0,0,1,1,0,1,0,1,1,0
2,1,0.9158740192651749,0,0,0,0,1,1,1,0,1,0,0,1,0
3,1,0.835649386048317,0,0,0,0,0,0,1,0,1,0,0,1,1
4,1,0.939803134649992,1,0,0,0,0,1,1,0,1,0,0,1,0
5,1,0.831485703587532,1,0,0,0,1,1,1,0,1,1,1,1,0
6,1,0.8128612488508224,0,0,0,0,0,1,1,0,1,0,0,0,1
7,1,0.9483680501580238,1,0,0,0,0,0,1,0,1,0,0,0,0
8,1,0.9179935604333878,0,0,0,0,1,1,1,0,1,0,0,1,0
9,1,0.8894176334142685,0,0,0,0,1,1,1,0,1,0,1,1,0
10,1,0.8463094979524612,0,0,0,0,0,1,1,0,1,0,0,0,0
11,1,0.809266597032547,0,0,0,0,1,1,1,0,1,0,0,1,0
12,1,0.7846570909023285,0,0,0,0,1,0,1,0,1,0,0,0,0
13,1,0.7607394605875015,1,0,0,0,1,1,1,0,1,0,1,1,0
14,1,0.7540489286184311,0,0,0,0,0,0,1,0,1,1,1,1,1
15,1,0.9574347175657749,1,0,0,0,1,0,1,0,1,0,0,0,0
16,1,0.9048055112361908,1,0,0,0,0,1,1,0,1,0,1,1,0
17,1,0.9412100948393345,1,0,0,0,0,1,1,0,1,0,0,0,0
18,1,0.9340334534645081,1,0,0,0,0,1,1,0,1,1,0,1,1
19,1,0.7644244730472565,1,0,0,0,1,1,1,0,1,0,0,0,0
20,1,0.8460783660411835,0,0,0,0,0,1,1,0,1,1,1,1,0
21,1,0.8560121357440948,1,0,0,0,0,0,1,0,1,1,1,1,0
22,1,0.8413461446762085,0,0,0,0,1,0,1,0,1,0,0,1,0
23,1,0.8425431251525879,0,0,0,0,1,1,1,0,1,0,0,0,0
24,1,0.8834604024887085,1,0,0,0,0,0,1,0,1,0,0,1,1
