,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.923412635922432,1,0,1,0,0,1,0,0,0,0,1,0
1,0,0.8246975243091583,1,0,0,0,1,1,0,0,0,0,1,0
2,0,0.8148615509271622,1,1,1,0,0,0,0,0,0,0,1,0
3,0,0.8142044544219971,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0.7643716782331467,1,0,0,0,0,0,0,0,0,0,1,0
5,0,0.891879677772522,1,0,0,1,0,1,0,0,0,0,1,0
6,0,0.8771291673183441,1,0,1,1,0,1,0,0,0,0,0,0
7,0,0.8620910942554474,1,0,0,0,0,1,0,0,0,0,1,0
8,0,0.8150959759950638,1,0,1,0,0,0,0,0,0,0,1,0
9,0,0.7867927253246307,1,0,1,1,0,0,0,0,0,0,1,0
10,0,0.9133485406637192,1,0,0,0,1,1,0,0,0,1,1,0
11,0,0.888342559337616,1,0,0,1,1,1,0,0,0,0,1,0
12,0,0.8256731033325195,1,0,0,0,0,1,0,0,0,0,1,1
13,0,0.822779506444931,1,0,0,0,0,0,0,0,0,0,1,0
14,0,0.8329899460077286,1,0,0,1,0,1,0,0,0,0,1,0
15,0,0.904072068631649,1,0,0,1,1,1,0,0,1,1,1,0
16,0,0.8234561234712601,1,0,0,0,0,1,0,0,0,0,1,0
17,0,0.6756482422351837,1,1,0,1,0,1,0,0,0,0,1,0
18,0,0.8181041181087494,1,0,0,0,0,1,0,0,0,1,0,0
19,0,0.7876186668872833,1,0,1,1,1,1,0,0,0,0,1,0
20,0,0.7638131976127625,1,0,0,0,0,0,0,0,0,1,1,0
21,0,0.9758700765669346,1,0,0,0,0,1,0,1,0,0,1,0
22,0,0.9536805674433708,1,0,1,1,1,1,0,0,0,0,1,0
23,0,0.8510834872722626,1,0,0,1,1,1,0,0,0,1,1,0
24,0,0.8874383419752121,1,0,0,0,0,0,0,0,0,0,1,0
25,0,0.9165821820497513,1,0,0,0,0,0,0,1,0,1,1,0
26,0,0.8455755114555359,1,0,1,0,0,0,0,0,0,0,1,0
27,0,0.8543183654546738,1,0,0,1,0,1,0,0,0,0,1,0
28,0,0.9134081900119781,1,0,0,1,1,1,0,0,0,1,1,0
29,0,0.9601981602609158,1,0,0,0,0,0,0,0,0,0,0,0
30,0,0.805936187505722,1,0,0,0,0,0,0,0,0,0,1,0
31,0,0.7654342800378799,1,0,0,0,0,1,0,0,1,0,1,0
32,0,0.8428526818752289,1,0,0,0,0,0,0,0,0,0,0,0
33,0,1.0059749335050583,1,0,0,1,0,1,0,0,0,0,1,0
34,0,0.915399968624115,1,0,1,0,0,0,0,0,0,0,1,0
35,0,0.7544032633304596,1,0,0,0,0,0,0,0,0,0,1,0
36,0,0.9016663655638695,1,0,0,0,0,1,0,0,0,0,1,0
37,0,0.8409600704908371,1,0,0,0,0,1,0,1,0,0,1,0
38,0,0.9733006414026022,1,0,1,1,1,1,0,0,0,0,1,0
39,0,0.8065571933984756,1,0,1,0,0,0,0,0,0,0,1,0
40,0,0.8371826410293579,1,0,1,0,0,0,0,0,0,0,1,0
41,0,0.8988891392946243,1,0,0,0,0,1,0,0,0,0,1,0
42,0,0.7775330245494843,1,0,1,0,0,1,0,0,1,0,1,0
43,0,0.879276916384697,1,0,0,0,0,0,0,0,0,0,0,0
44,0,0.8286476731300354,1,0,0,1,0,1,0,0,0,0,1,0
45,0,0.8918469101190567,1,0,1,0,1,1,0,0,0,0,1,0
46,0,0.8416446000337601,1,0,0,1,0,0,0,0,0,0,1,0
47,0,0.7703783512115479,1,0,0,0,0,0,0,0,0,0,1,0
48,0,1.0570161044597626,1,0,0,1,0,1,0,0,0,0,1,0
49,0,0.9017188996076584,1,0,0,1,0,1,0,0,0,1,1,0
50,0,0.8532752990722656,1,0,1,1,0,0,0,0,0,0,1,0
51,0,0.7163814306259155,0,0,0,0,0,0,0,0,0,0,1,0
52,0,0.8479406535625458,1,0,0,1,0,1,0,0,1,0,1,0
53,0,0.8564803153276443,1,0,1,1,1,1,0,0,0,1,1,0
54,0,0.9307103157043457,1,0,0,0,0,0,0,0,0,0,1,0
55,0,1.0061285416595638,1,0,0,1,0,1,0,0,0,0,1,0
56,0,0.9484217390418053,1,0,1,1,0,1,0,0,0,1,1,0
57,0,0.8653373420238495,1,0,1,1,1,1,0,0,0,1,1,1
58,0,0.8092499524354935,1,0,0,0,1,1,0,0,0,0,1,0
59,0,1.0111996829509735,1,0,1,1,0,1,0,0,0,0,1,0
60,0,0.8315626382827759,1,0,1,1,0,0,0,0,0,0,1,0
61,0,0.7836583256721497,1,0,0,0,0,0,0,0,0,0,1,0
62,0,0.93271454423666,1,0,0,0,0,1,0,0,0,1,0,0
63,0,0.8718572854995728,1,0,0,1,0,1,0,0,0,0,1,0
64,0,0.8872748389840126,1,0,0,1,0,1,0,0,1,1,1,0
65,0,0.7609320878982544,0,0,1,1,1,1,0,0,0,1,1,0
66,0,0.7917216271162033,1,1,1,1,0,0,0,0,0,0,1,0
67,0,0.9024399593472481,1,0,1,0,0,1,0,0,0,0,1,0
68,0,0.8656323701143265,1,0,0,1,1,1,0,0,0,0,1,0
69,0,0.8393680304288864,1,0,1,1,1,1,0,0,0,1,1,0
70,0,0.9014636650681496,1,0,0,1,0,1,0,0,0,0,1,0
71,0,0.8506230711936951,1,0,0,0,0,0,0,0,0,0,1,0
72,0,0.7930136322975159,1,0,1,1,1,1,0,0,1,1,1,0
73,0,0.6979632377624512,1,1,1,0,0,0,0,0,0,0,1,0
74,0,0.842306450009346,1,0,1,1,0,0,0,0,0,0,1,0
75,0,0.9423985667526722,1,0,0,0,0,0,0,0,0,0,0,0
76,0,0.8935136869549751,1,0,0,0,0,0,0,0,0,0,0,0
77,0,0.8608269691467285,1,0,1,0,1,1,0,0,0,0,1,0
78,0,0.8529693335294724,1,0,0,0,0,0,0,0,0,0,1,0
79,0,0.8919470235705376,1,0,0,1,0,1,0,0,0,0,0,0
80,0,0.9114173054695129,1,0,0,1,0,1,0,0,0,0,1,0
81,0,0.9204118922352791,1,0,0,0,0,1,0,0,0,0,0,0
82,0,0.9094545021653175,1,0,0,1,0,1,0,0,0,0,1,0
83,0,0.9761074334383011,1,0,0,0,0,0,0,0,0,0,1,0
84,0,0.9228520542383194,1,0,0,1,0,1,0,0,1,0,1,0
85,0,0.9947906043380499,1,0,0,1,0,1,0,0,0,1,1,0
86,0,0.8948724493384361,1,0,0,1,1,1,0,0,0,0,1,0
87,0,0.8945784717798233,1,0,1,1,1,1,0,1,0,1,1,0
88,0,0.8087254464626312,1,0,1,1,0,1,0,0,1,1,1,1
89,0,0.8101566284894943,1,0,0,1,1,1,0,0,0,1,1,0
90,0,0.7692296952009201,1,0,0,0,0,0,0,0,0,0,1,0
91,0,0.7786624133586884,0,0,0,0,0,0,0,0,0,0,1,0
92,0,0.6977433562278748,1,0,1,1,1,1,0,0,1,1,1,1
93,0,0.6966551244258881,1,1,1,0,0,1,0,0,0,0,1,0
94,0,0.7529765069484711,1,0,0,0,0,0,0,0,0,0,1,0
95,0,0.9456038624048233,1,0,0,1,1,1,0,0,1,1,1,0
96,0,0.797810286283493,1,0,1,1,0,1,0,0,0,1,1,0
97,0,0.6946744918823242,1,0,1,1,0,1,0,0,1,0,1,0
98,0,0.8926290944218636,1,0,1,1,1,1,0,0,1,0,1,0
99,0,0.8146098852157593,1,0,0,1,0,1,0,0,0,1,1,0
100,0,0.8603443056344986,1,0,0,0,0,1,0,0,0,1,1,0
101,0,1.001228528097272,1,0,0,1,0,1,0,0,0,0,1,0
102,0,0.9053867682814598,1,0,0,0,0,0,0,0,0,0,0,0
103,0,0.8522117584943771,1,0,0,0,0,0,0,0,0,0,1,0
104,0,0.6108295023441315,1,0,1,1,1,1,0,0,1,1,1,1
105,0,0.9053803607821465,1,0,0,1,1,1,0,0,0,0,1,0
106,0,0.9706318955868483,1,0,0,1,0,1,0,0,0,0,1,0
107,0,0.7734155207872391,1,0,0,0,0,1,0,0,0,0,1,0
108,0,0.883590430021286,1,0,0,0,0,1,0,0,0,0,1,0
109,0,0.9353745728731155,1,0,0,1,0,1,0,0,0,0,1,0
110,0,0.8288159072399139,1,0,1,1,1,1,0,0,0,1,1,0
111,0,0.9626054689288139,1,0,0,0,0,0,0,0,0,0,1,0
112,0,0.8830610662698746,1,0,0,0,0,0,0,0,0,0,1,0
113,0,0.9346625730395317,1,0,1,1,1,1,0,0,0,1,1,1
114,0,0.8404975831508636,1,0,1,0,0,0,0,0,0,0,1,0
115,0,0.7464834451675415,1,0,0,0,0,1,0,0,0,1,1,0
116,0,0.8566615879535675,1,0,0,1,0,1,0,0,0,0,1,0
117,0,0.8173375874757767,1,0,1,0,0,1,0,0,0,0,1,0
118,0,0.8929427936673164,1,0,0,0,1,1,0,0,0,1,1,0
119,0,0.8144487142562866,1,0,1,0,0,1,0,0,0,0,1,0
120,0,0.7228504717350006,1,0,0,0,0,0,0,0,0,0,1,1
121,0,1.0235524959862232,1,0,0,0,0,0,0,0,0,0,0,0
122,0,0.95915712043643,1,0,0,0,0,0,0,1,0,0,1,0
123,0,0.866507813334465,1,0,0,1,0,1,0,1,0,0,1,0
124,0,0.8418543338775635,1,0,0,0,0,0,0,0,0,0,0,0
125,0,0.8134280741214752,1,0,1,1,1,1,0,0,1,1,1,1
126,0,0.7899001836776733,1,1,1,1,1,1,0,0,1,0,1,0
