,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.9852636475116014,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0.9475126303732395,0,0,1,0,0,0,1,1,0,0,0,0
2,0,0.850019246339798,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0.9442759118974209,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0.9332964718341827,0,0,1,1,1,1,1,1,0,0,0,1
5,0,0.9980737254954875,0,0,1,0,1,0,1,1,0,0,0,1
6,0,0.9884867100045085,0,0,0,0,0,0,1,1,0,0,0,0
7,0,0.9628396704792976,0,0,0,0,1,0,1,1,0,0,0,1
8,0,0.9731784928590059,0,0,0,0,1,0,1,1,0,0,0,1
9,0,0.9023481383919716,0,0,0,0,0,0,1,1,0,0,0,0
10,0,0.9599454365670681,0,0,1,0,0,0,1,1,0,0,0,1
11,0,0.9227466508746147,0,0,1,0,0,0,1,1,0,0,0,0
12,0,0.9311441108584404,0,0,1,0,0,0,1,1,0,0,0,0
13,0,0.9070458561182022,0,0,0,0,1,0,1,1,0,0,0,0
14,0,0.9561419859528542,0,0,1,0,1,0,1,1,0,0,0,1
15,0,0.9561353214085102,0,0,1,0,0,0,1,1,0,0,0,1
16,0,0.9493193663656712,0,0,1,0,1,0,1,1,0,0,0,1
17,0,0.9217387139797211,0,0,0,0,1,0,1,1,0,1,0,1
18,0,0.9545702263712883,0,0,1,1,1,0,1,1,0,0,1,1
19,0,0.9415260441601276,0,0,0,0,0,0,1,1,0,0,0,0
20,0,0.976049093529582,0,0,0,0,0,0,1,1,0,0,0,0
21,0,1.1067684665322304,0,0,0,0,0,0,1,0,0,0,0,0
22,0,0.9151507094502449,0,0,0,0,0,0,1,1,0,1,0,1
23,0,0.9286475852131844,0,0,1,0,0,0,1,1,0,0,0,1
24,0,0.971815312281251,0,0,0,0,1,0,1,1,0,0,0,0
25,0,0.8929285332560539,0,0,0,0,0,0,1,0,0,0,0,1
26,0,0.9264038950204849,0,0,0,0,0,0,1,1,0,0,0,0
27,0,0.9918398149311543,0,0,0,0,0,0,1,1,0,0,0,1
28,0,0.9862372800707817,0,0,0,0,0,0,1,1,0,0,0,0
29,0,0.9917244100943208,0,0,1,0,1,0,1,1,0,1,1,1
30,0,0.9253607839345932,0,0,1,0,0,0,1,1,0,0,0,0
31,0,0.832809180021286,0,0,1,0,1,0,1,1,0,1,0,0
