,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.9144976139068604,0,0,1,0,0,0,1,1,1,1,0,1,0
1,0,1.0276419874280691,0,0,0,0,0,0,0,1,1,0,0,1,0
2,0,0.7773603200912476,0,0,0,0,0,0,1,1,1,0,0,0,0
3,0,0.9616292454302311,0,0,1,0,0,0,1,1,1,1,0,1,0
4,0,0.9194306880235672,0,0,1,0,0,0,1,1,1,1,0,1,0
5,0,0.8153176158666611,0,0,1,0,0,0,1,1,1,1,0,1,0
6,0,0.9355312436819077,0,0,1,0,0,0,1,1,1,1,0,1,0
7,0,0.9440448246896267,0,0,0,0,0,0,1,1,1,1,0,1,0
8,0,0.9370400384068489,0,0,1,0,0,0,1,1,1,1,0,1,0
9,0,0.9486375376582146,0,0,0,0,0,0,1,1,1,0,0,0,0
10,0,0.9620847180485725,0,0,1,0,0,0,1,1,1,1,0,1,0
11,0,0.8466080129146576,0,0,1,0,0,0,1,1,1,1,0,1,0
12,0,0.9151780009269714,0,0,0,0,0,0,1,1,1,1,0,1,0
13,0,0.8835062384605408,0,0,1,0,0,0,1,1,1,1,0,1,0
14,0,0.9546311572194099,0,0,0,0,0,0,1,1,1,0,0,0,0
15,0,0.9462342113256454,0,0,0,0,0,0,1,1,1,1,0,1,0
16,1,0.6714655160903931,0,0,1,1,1,1,1,1,1,1,0,1,0
17,0,0.8516038954257965,0,0,1,0,0,0,1,1,1,1,0,1,0
18,0,1.0109512340277433,0,0,0,0,0,0,1,1,1,1,0,1,0
19,0,0.8516071885824203,0,0,0,0,0,0,1,1,1,0,0,0,0
20,0,1.008777185343206,0,0,1,0,0,0,1,1,1,0,0,1,0
21,0,1.0254756957292557,0,0,1,0,0,0,1,1,1,1,0,1,0
22,0,0.9508963599801064,0,0,0,0,0,0,1,1,1,1,0,1,0
23,0,0.9339960664510727,0,0,0,0,0,0,1,1,1,0,0,1,0
24,0,1.044339682906866,0,0,0,0,0,0,1,1,1,1,0,1,0
25,0,0.9234248325228691,0,0,1,0,0,0,1,1,1,1,0,0,0
26,0,0.9783383216708899,0,0,0,0,0,0,1,1,1,1,0,0,0
27,0,0.9967352240346372,0,0,1,0,0,0,1,1,1,1,0,0,0
28,0,0.9636504501104355,0,0,0,0,0,0,1,1,1,1,0,1,0
29,0,1.0008443388505839,0,0,0,0,0,0,1,1,1,1,0,1,0
30,0,0.7504789382219315,0,0,0,0,0,0,1,1,1,1,0,0,0
31,0,0.9440935403108597,0,0,1,0,0,0,1,1,1,1,0,1,0
32,0,1.0097245909273624,0,0,1,0,0,0,1,1,1,1,0,1,0
33,0,1.0160769205540419,0,0,1,0,0,0,1,1,1,1,0,1,0
34,1,0.929180271923542,0,0,0,0,1,0,1,1,1,1,0,1,0
35,0,0.8644593805074692,0,0,0,0,0,0,1,1,1,1,0,0,0
36,0,1.0802159756422043,0,0,0,0,0,0,0,1,1,1,0,1,0
37,0,0.8677698969841003,0,0,0,0,0,0,1,1,1,1,0,1,0
38,0,0.715639740228653,0,0,1,1,1,0,1,1,1,1,0,1,0
39,0,0.8776809871196747,0,0,0,0,0,0,1,1,1,1,0,1,0
40,0,0.9330451563000679,0,0,0,0,0,0,1,1,1,1,0,1,0
41,0,1.0045609939843416,0,0,0,0,0,0,1,1,1,0,0,1,0
42,0,0.9727608598768711,0,0,0,0,0,0,1,1,1,1,0,1,0
43,0,0.9171844273805618,0,0,0,0,0,0,0,1,1,0,0,0,0
44,0,0.8153176307678223,0,0,1,0,0,0,1,1,1,1,0,1,0
45,0,0.972449554130435,0,0,0,0,0,0,1,1,1,1,0,0,0
46,0,0.9438503906130791,0,0,1,0,0,0,1,1,1,1,0,1,0
47,0,1.0065823411569,0,0,1,0,0,0,1,1,1,1,0,1,0
48,0,0.9440448246896267,0,0,0,0,0,0,1,1,1,1,0,1,0
49,0,0.8749017715454102,0,0,0,0,0,0,1,1,1,0,0,1,0
50,0,1.017253676429391,0,0,0,0,0,0,0,1,1,1,0,0,0
51,0,0.8857111260294914,0,0,0,0,0,1,0,1,1,0,0,1,0
52,0,0.9256629794836044,0,0,0,0,0,0,1,0,1,1,0,1,0
53,0,0.870234340429306,0,0,0,0,0,0,1,1,1,0,0,0,0
54,0,1.035621017217636,0,0,0,0,0,0,1,1,1,1,0,1,0
55,1,0.9215395078063011,0,0,0,0,0,0,0,1,1,1,0,1,0
56,0,0.9855914767831564,0,0,1,0,0,0,1,1,1,1,0,0,0
57,0,0.8422596901655197,0,0,1,0,0,0,1,1,1,1,0,1,0
58,0,0.9611736536026001,0,0,0,0,0,0,1,1,1,1,0,1,0
59,0,1.0204566437751055,0,0,0,0,0,0,1,1,1,0,0,0,0
60,0,0.8516071885824203,0,0,0,0,0,0,1,1,1,0,0,0,0
61,0,0.8036234676837921,0,0,0,0,0,0,1,1,1,1,0,1,0
62,0,0.8491373658180237,0,0,0,0,0,0,1,1,1,0,0,0,0
63,0,0.9848504131659865,0,0,0,0,0,0,1,1,1,0,0,0,0
64,1,0.9667894504964352,0,0,1,0,1,0,1,1,1,1,0,1,0
65,0,0.8970121815800667,0,0,0,0,0,0,1,1,1,1,0,1,0
66,0,1.0030142422765493,0,0,1,0,0,0,1,1,1,1,0,1,0
67,1,0.9433164037764072,0,0,1,0,0,1,1,1,1,1,0,1,0
68,0,0.9700835663825274,0,0,1,0,0,0,1,1,1,1,0,1,0
69,0,0.9215395078063011,0,0,0,0,0,0,0,1,1,1,0,0,0
70,0,0.9429533928632736,0,0,0,0,1,0,1,1,1,1,0,1,0
71,0,0.9790469091385603,0,0,1,0,0,0,1,1,1,1,0,1,0
72,0,0.908558800816536,0,0,0,0,0,0,1,1,1,1,0,1,0
73,0,0.9564142003655434,0,0,0,0,0,0,1,1,1,1,0,1,0
74,0,1.0149065433070064,0,0,0,0,0,0,1,1,1,1,0,1,0
75,0,0.9891822738572955,0,0,0,0,0,0,1,1,1,1,0,1,0
76,0,0.9370030015707016,0,0,0,0,0,0,0,1,1,1,0,1,0
77,0,0.9907681830227375,0,0,1,0,0,0,0,1,1,1,0,1,0
78,0,0.9300991520285606,0,0,0,0,0,0,1,1,1,0,0,1,0
79,0,0.91109998524189,0,0,0,0,0,0,1,1,1,0,0,1,0
80,0,0.9348396062850952,0,0,0,0,0,0,1,1,1,1,0,1,0
81,0,0.927894689142704,0,0,0,0,0,0,1,1,1,1,0,1,0
82,0,1.037824671715498,0,0,1,0,0,0,1,1,1,1,0,1,0
83,0,1.0029332528356463,0,0,0,0,0,0,1,1,1,0,0,1,0
84,0,0.9466572068631649,0,0,0,0,0,0,1,1,1,1,0,1,0
85,0,0.9085460528731346,0,0,0,0,0,0,1,1,1,1,0,1,0
86,0,0.8762722834944725,0,0,0,0,0,0,0,1,1,1,0,1,0
87,0,0.8089907765388489,0,0,0,1,0,0,1,1,1,1,0,1,0
88,0,0.9734945259988308,0,0,0,0,0,0,1,1,1,1,0,1,0
89,0,0.8821390569210052,0,0,0,0,1,0,1,1,1,1,0,1,1
90,0,0.9603386782109737,0,0,1,0,0,0,0,1,1,1,0,1,0
91,0,0.9274216592311859,0,0,1,0,0,0,1,1,1,0,0,0,0
92,0,0.8669989705085754,0,0,1,0,1,0,1,1,1,1,0,1,0
93,0,0.918452613055706,0,0,0,0,0,0,0,1,1,1,0,1,0
94,0,1.0027338617946953,0,0,0,0,0,0,1,1,1,1,0,1,0
95,0,0.9227176383137703,0,0,0,0,0,0,1,1,1,0,0,0,0
96,0,0.8751787915825844,0,0,1,0,0,0,1,1,1,1,0,1,0
97,0,0.7359926402568817,0,0,0,0,0,0,1,1,1,0,0,0,0
98,0,0.9204255416989326,0,0,0,0,0,0,1,1,1,1,0,1,0
99,0,0.9715511929243803,0,0,0,0,0,0,1,1,1,1,0,1,0
100,0,1.0543356388807297,0,0,0,0,0,0,0,1,1,1,0,1,0
101,0,0.8605749756097794,0,0,1,0,0,0,1,1,1,1,0,0,0
102,0,0.9620701894164085,0,0,0,0,0,0,1,1,1,1,0,1,0
103,1,1.0097245909273624,0,0,1,0,0,0,1,1,1,1,0,1,0
104,0,1.0049696555361152,0,0,1,0,0,0,1,1,1,1,0,1,0
105,0,0.927104689180851,0,0,1,0,0,0,1,1,1,0,0,1,0
106,0,0.9037918895483017,0,0,0,0,0,0,1,1,1,1,0,0,0
107,0,0.9629171974956989,0,0,0,0,0,0,1,1,0,1,0,0,0
108,0,0.820622593164444,0,0,1,0,0,0,1,1,1,1,0,1,0
109,0,0.7931115925312042,0,0,0,0,0,0,1,1,1,1,0,1,0
110,0,0.9478205256164074,0,0,0,0,0,0,1,1,1,0,0,1,0
111,0,0.909160777926445,0,0,0,0,0,0,1,1,1,0,0,1,0
112,0,0.9472106471657753,0,0,0,0,0,0,1,1,1,0,0,0,0
113,0,0.9756736531853676,0,0,0,0,0,0,0,1,1,1,0,1,0
114,0,0.8877452984452248,0,0,0,0,0,0,1,1,1,0,0,0,0
115,0,1.0098644020035863,0,0,0,0,0,0,1,1,1,1,0,1,0
116,0,0.987771900370717,0,0,1,0,0,0,1,1,1,1,0,1,0
117,0,1.011222943663597,0,0,1,0,0,0,1,1,1,1,0,1,0
118,0,1.0031497466843575,0,0,1,0,0,0,1,1,1,1,0,1,0
119,0,0.911269336938858,0,0,0,0,0,0,1,1,0,0,0,0,0
120,1,0.6707525849342346,0,0,1,1,1,1,1,1,1,1,0,1,0
121,0,0.8769521564245224,0,0,1,0,0,0,1,1,1,1,0,1,0
122,0,1.0077076386660337,0,0,1,0,0,0,1,1,1,1,0,1,0
123,0,0.9423065558075905,0,0,1,0,0,0,1,1,1,1,0,1,0
124,0,0.867812842130661,0,0,0,0,0,0,1,1,1,1,0,1,0
125,0,0.820622593164444,0,0,1,0,0,0,1,1,1,0,0,1,0
126,0,0.9315551891922951,0,0,1,0,1,0,1,1,1,1,0,1,0
127,0,0.9492662474513054,0,0,0,0,0,0,1,1,1,1,0,0,0
128,0,1.0570229180157185,0,0,1,0,0,0,1,1,1,1,0,1,0
129,0,0.9959425441920757,0,0,0,0,0,0,1,1,1,0,0,1,0
