,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.9797920994460583,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.9372999668121338,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.9866459127515554,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1.0312143191695213,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.995890992693603,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.8793437033891678,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.9841057807207108,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.8636502325534821,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.8793642893433571,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.9618900716304779,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0.943423680961132,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0.995749834459275,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.8986586034297943,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0.9340251833200455,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1.073664352297783,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1.0144399413838983,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.8723929673433304,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0.9414226971566677,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0.9419381059706211,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.8567850887775421,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0.9402231760323048,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.9395361579954624,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.9365625008940697,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0.8882989585399628,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1.0374017506837845,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.877970740199089,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.955256000161171,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.9263851270079613,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.9589183963835239,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0.9904582565650344,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0.9920981721952558,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0.9963758299127221,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1.1092782020568848,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0.9958024066872895,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0.8891801238059998,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,0.863060250878334,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,1.1140257865190506,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0.8657797873020172,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0.8901228755712509,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,0.9840712826699018,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0.9415417648851871,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0.9769672956317663,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0.8518889993429184,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0.906268760561943,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0.8793437257409096,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,1.010357086546719,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0.951864805072546,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0.9387467131018639,0,0,0,0,0,0,0,0,0,0,0,0,0
