,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.8321899026632309,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,0.7702940553426743,0,1,0,0,0,0,1,0,1,0,1,1,1
2,0,0.8646729588508606,0,0,0,1,0,0,1,0,1,0,0,0,0
3,0,0.898056335747242,0,1,0,1,1,1,1,0,1,1,1,1,1
4,0,0.811483696103096,0,1,1,1,0,1,1,0,1,1,0,0,0
5,0,0.7553835958242416,1,1,0,1,1,0,1,1,1,0,1,1,0
6,0,0.8674802482128143,1,1,0,0,0,0,1,0,1,0,0,0,0
7,0,0.8369101136922836,1,1,0,0,0,0,1,0,1,1,0,0,0
8,0,0.8299683034420013,0,1,0,0,0,0,1,0,1,1,0,0,0
9,0,0.8574384301900864,1,1,0,0,0,0,1,0,1,0,0,0,0
10,0,0.8029183000326157,1,1,0,1,1,1,1,1,1,1,1,0,1
11,0,0.8381740748882294,0,1,0,0,0,0,0,0,1,0,0,0,0
12,0,0.9391382187604904,0,1,0,0,0,0,1,1,1,0,0,0,0
13,0,0.9669174291193485,0,1,0,1,1,1,1,1,1,0,0,0,0
14,0,0.936409555375576,0,0,0,0,0,0,1,0,1,0,0,0,0
15,0,0.9199142307043076,1,1,0,0,0,0,1,1,1,0,0,0,0
16,0,0.6732124388217926,1,1,0,0,0,0,1,0,1,0,0,0,0
17,0,0.9337791725993156,0,1,0,1,1,0,1,0,1,0,1,1,0
18,0,0.8256022781133652,1,1,0,0,0,0,1,0,1,0,0,0,0
19,0,0.8462051302194595,0,1,0,0,0,0,1,0,1,0,0,1,0
20,0,0.8143308758735657,0,1,0,0,1,0,1,1,1,0,1,1,0
21,0,0.7896327525377274,1,1,0,0,0,0,1,0,1,1,0,0,0
22,0,0.7739037275314331,1,1,0,0,0,0,1,0,1,0,0,0,0
23,0,0.8041845709085464,0,1,0,0,0,0,1,0,1,0,0,0,0
24,0,0.6548957228660583,0,1,0,0,0,0,1,0,1,0,0,0,1
25,0,0.7431054711341858,0,1,0,1,1,0,1,0,1,0,0,0,0
26,0,0.7937073409557343,0,1,0,0,0,0,1,0,1,0,0,0,0
27,0,0.8016369789838791,0,0,0,0,0,0,1,0,1,0,0,0,0
28,0,0.8933456689119339,1,1,0,1,1,0,1,0,1,0,0,0,0
29,0,0.7847499251365662,0,1,0,0,0,0,1,0,1,0,0,0,0
30,0,0.7952390760183334,1,1,0,1,1,0,1,1,1,1,1,1,0
31,0,0.689167320728302,0,1,1,1,1,0,1,1,1,0,1,0,0
32,0,0.8509170114994049,0,1,0,0,0,0,1,0,1,1,0,0,0
