,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,1,0.8393350541591644,0,1,1,1,1,1,0,1,0,1,0,0,1
1,1,0.6763823330402374,0,1,1,1,1,0,0,1,1,0,1,0,0
2,1,0.8088111877441406,0,1,1,1,1,1,0,1,1,1,1,1,0
3,1,0.9178847298026085,0,0,0,0,0,0,0,1,1,0,0,0,0
4,1,1.007234946358949,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,0.7730800956487656,0,0,0,0,0,0,0,1,1,0,1,0,0
6,1,0.8627242296934128,0,0,0,0,1,0,0,1,1,0,1,0,0
7,1,0.9246265739202499,0,0,0,0,0,0,0,1,0,0,0,0,0
8,1,0.8309461027383804,0,1,1,1,0,0,0,1,1,1,1,0,0
9,1,0.7700669020414352,0,1,1,1,1,1,0,1,1,1,1,1,0
10,1,0.7637724280357361,0,1,1,1,1,1,0,1,1,0,1,0,0
11,1,0.9686162658035755,1,0,0,0,0,0,0,1,0,0,0,0,0
12,1,0.8908159956336021,0,0,0,0,0,0,0,1,0,0,0,0,0
13,1,0.8822500929236412,0,0,1,1,1,1,0,1,0,1,1,0,0
14,1,0.9102602824568748,0,1,1,0,0,0,0,1,0,0,0,0,0
15,1,0.8331573009490967,0,0,1,0,0,0,0,1,1,0,0,0,0
16,1,0.9226435199379921,0,0,0,0,1,0,0,1,1,0,0,0,0
17,1,0.9171406775712967,1,0,1,0,1,0,0,1,0,0,0,0,0
18,1,1.0499334707856178,0,0,0,0,0,0,0,1,1,0,0,0,0
19,1,0.7046003341674805,0,1,1,1,1,0,0,1,1,1,1,0,0
20,1,0.8340926617383957,0,1,1,1,1,0,0,1,1,1,1,0,1
21,1,0.7158488929271698,0,1,1,1,1,0,0,1,0,0,0,0,0
22,1,0.9146664813160896,1,0,1,0,0,0,0,1,1,0,0,0,0
23,1,0.8227215707302094,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0.9273794069886208,0,0,0,0,0,0,0,1,1,0,0,0,0
25,1,0.914772666990757,0,1,0,0,0,0,0,1,1,0,0,0,0
26,1,0.9083102643489838,0,0,0,0,1,0,0,1,1,0,0,0,0
27,1,0.8844306617975235,0,0,1,1,1,1,0,1,0,0,0,0,1
28,1,0.8907718136906624,0,0,0,0,0,0,0,1,1,1,1,0,0
29,1,0.7974312007427216,0,0,0,0,0,0,0,1,0,0,0,0,1
30,1,0.7879117131233215,0,1,1,1,1,1,0,1,1,0,1,0,0
31,1,0.8836451843380928,0,0,1,0,0,0,0,1,1,0,1,0,0
32,1,0.8349168300628662,0,0,1,0,1,0,0,1,1,0,0,0,0
33,1,0.8404491394758224,0,0,0,0,0,0,0,1,1,1,0,0,0
34,1,0.9089662730693817,0,0,1,0,0,0,0,1,0,0,0,0,0
35,1,0.8160396665334702,0,1,1,0,1,0,0,1,0,1,0,0,0
36,1,0.7254888415336609,0,0,1,0,0,0,0,1,0,1,0,0,0
37,1,0.8436536192893982,0,1,1,1,1,0,0,1,0,0,0,0,0
38,1,0.9329422861337662,0,0,1,1,1,1,0,1,0,0,1,0,0
39,1,0.7700014412403107,0,1,1,1,1,1,0,1,0,1,1,1,0
40,1,0.8696790486574173,0,1,1,1,1,1,0,1,0,1,1,0,0
41,1,0.9265687763690948,0,0,1,0,0,0,0,1,0,1,1,0,0
42,1,0.8031700402498245,0,0,1,1,0,0,0,1,0,1,0,0,0
43,1,0.811140701174736,0,1,1,1,1,1,0,1,0,0,1,0,0
44,1,0.887791745364666,0,0,1,1,1,1,0,1,0,1,1,0,0
45,1,0.933670736849308,0,0,1,0,1,0,0,1,0,0,0,0,0
46,1,0.8272572308778763,0,0,1,1,0,0,0,1,1,1,0,0,0
47,1,0.816901370882988,0,0,1,0,0,0,0,1,1,1,0,0,0
48,1,0.7773172557353973,0,0,0,1,0,1,0,1,1,1,1,0,0
49,1,0.8518346399068832,0,0,0,0,0,0,0,1,1,0,0,0,0
50,1,0.876496821641922,0,0,1,1,1,1,0,1,1,0,1,0,0
51,1,0.8750758096575737,0,1,1,1,1,1,0,1,1,1,1,0,0
52,1,0.8894155919551849,1,0,1,1,0,1,0,1,1,0,1,0,0
53,1,0.8909635245800018,0,0,1,1,1,0,0,1,0,1,1,0,0
54,1,0.9437365680932999,1,0,0,0,0,0,0,1,0,0,0,0,0
55,1,0.8600243926048279,0,0,1,1,1,1,0,1,1,0,0,0,0
56,1,0.8205321878194809,0,0,0,0,0,1,0,1,1,0,0,0,0
57,1,1.03822685405612,0,0,0,0,0,0,0,1,0,0,0,0,0
58,1,0.9846052061766386,0,0,1,0,0,0,0,1,0,1,0,0,0
59,1,0.9024076834321022,0,0,1,0,0,0,0,1,0,0,0,0,1
60,1,0.9243627563118935,0,1,1,1,1,1,0,1,0,1,1,0,0
61,1,0.8011867702007294,0,0,1,0,0,0,0,1,0,0,0,0,0
62,1,0.8293044716119766,0,0,1,0,0,1,0,1,0,0,0,0,0
63,1,0.9147388562560081,0,0,0,0,0,0,0,1,0,0,1,0,0
64,1,0.9420215524733067,1,0,1,1,0,0,0,1,1,0,0,0,0
65,1,0.9469151683151722,1,0,0,0,0,0,0,1,1,0,0,0,0
66,1,0.8428292125463486,0,0,0,0,0,0,0,1,1,0,0,0,0
67,1,0.9331136122345924,0,0,1,1,0,0,0,1,1,0,0,0,0
68,1,0.8446577489376068,0,1,1,0,0,0,0,1,0,0,0,0,0
69,1,0.7306239306926727,0,1,1,1,1,1,0,1,1,1,1,1,0
70,1,0.7884779721498489,0,0,0,0,0,0,0,1,1,0,0,0,0
71,1,0.7733479589223862,0,0,1,0,0,0,0,1,1,0,0,0,0
72,1,0.8364055901765823,0,1,1,0,0,0,0,1,1,0,1,0,0
73,1,0.8827473819255829,1,0,0,1,1,0,0,1,0,0,0,0,0
74,1,0.9426098503172398,0,0,0,0,0,0,0,1,0,0,0,0,0
75,1,0.9792815204709768,0,0,0,0,0,0,0,1,0,0,0,0,0
76,1,0.9307158067822456,0,1,1,1,1,1,0,1,1,1,1,0,0
77,1,0.8978681564331055,0,0,0,0,0,0,0,1,0,1,0,0,0
78,1,0.840715080499649,0,0,1,1,1,1,0,1,0,0,1,0,1
79,1,0.9543785899877548,1,0,1,1,0,0,0,1,0,0,0,0,1
80,1,0.8914276510477066,0,0,0,0,0,0,0,1,0,0,0,0,0
81,1,0.7978194802999496,0,0,1,0,1,1,0,1,0,1,1,0,0
82,1,0.7845254689455032,0,1,1,1,0,0,0,1,1,0,0,0,0
83,1,0.6702322959899902,0,1,1,1,1,1,0,1,1,1,1,1,0
84,1,0.7394307851791382,0,1,1,1,1,1,0,1,1,0,1,0,0
85,1,0.8385617136955261,0,0,0,0,0,0,0,1,0,0,0,0,0
86,1,0.8865220695734024,0,0,0,0,0,0,0,1,1,1,1,0,0
87,1,0.8169026225805283,0,0,0,0,0,0,0,1,0,0,0,0,0
