,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,1,0.9068320170044899,0,0,0,0,1,1,0,0,0,0,1,0
1,1,1.0195338390767574,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1.0873683169484138,0,0,0,0,0,0,1,0,0,0,1,0
3,1,0.9794619847089052,0,0,0,0,0,1,0,0,0,0,0,0
4,1,0.9627220295369625,0,0,0,0,0,0,0,1,0,0,1,0
5,1,1.0051000933162868,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0.9267448037862778,0,0,0,0,1,1,0,0,0,0,1,1
7,1,0.9728884305804968,0,0,0,0,0,0,0,0,0,0,1,0
8,1,0.9552340358495712,0,0,0,0,0,0,1,0,0,0,1,0
9,1,0.9455666914582253,0,0,0,0,0,0,1,0,0,0,1,0
10,1,0.9549318067729473,0,0,0,0,0,0,1,0,0,1,1,0
11,1,1.0209902748465538,0,0,0,0,0,0,1,0,0,0,0,0
12,1,0.9453999549150467,0,0,0,0,0,0,0,0,0,0,1,0
13,1,0.9030057266354561,0,0,0,0,1,1,1,0,0,0,1,1
14,1,0.97801330126822,0,0,0,0,0,0,0,0,0,0,1,0
15,1,1.0157848242670298,0,0,0,0,0,0,1,1,0,0,0,0
16,1,1.0139412768185139,0,0,0,0,0,0,0,0,0,0,1,0
17,1,0.8170572966337204,0,0,0,0,1,1,0,0,0,0,1,0
18,1,0.912275917828083,0,0,0,0,0,0,1,0,0,0,0,0
19,1,0.9048146158456802,0,0,0,0,0,0,1,0,0,0,0,0
20,1,0.8242057412862778,0,0,0,0,0,0,0,0,0,1,0,0
21,1,0.8072492927312851,0,1,0,1,1,1,1,0,0,1,1,1
22,1,1.0620373487472534,0,0,0,0,0,0,0,0,0,0,1,0
