,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.9853399060666561,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0.8992988616228104,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.9191533625125885,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.9892677487805486,0,1,0,0,0,0,0,0,0,0,0,0
4,0,0.991842420771718,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1.064893364906311,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.9374082162976265,0,1,0,0,0,0,0,0,0,0,0,0
7,0,1.0202798806130886,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.9320348277688026,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.8470145761966705,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0.7765088826417923,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0.9529774524271488,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.9502451606094837,0,1,0,0,0,0,0,0,0,0,0,0
13,0,0.9156540259718895,0,1,0,0,0,0,0,0,1,0,0,0
14,0,0.8735547959804535,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.9128624647855759,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.8427915573120117,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.9354586079716682,0,1,0,0,0,0,0,0,0,0,0,0
18,0,0.945085633546114,0,1,1,0,1,0,0,0,1,1,0,0
19,0,0.9509957432746887,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.8790383264422417,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.9889447381719947,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.9711068440228701,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.9346155598759651,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.9115791246294975,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1.0904393941164017,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.9642849788069725,0,1,0,0,0,0,0,0,0,0,0,0
27,0,1.0200314689427614,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.9606918096542358,0,1,0,0,0,0,0,0,0,0,0,0
29,0,0.9691869150847197,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.9437917098402977,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0.9352172464132309,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1.0168149713426828,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0.8923806175589561,0,1,0,0,0,0,0,0,0,0,0,0
34,0,0.9918536972254515,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0.8843996003270149,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.9606510624289513,0,1,0,0,1,0,0,0,0,1,0,0
37,0,0.978162681683898,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0.9618869125843048,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0.8762900531291962,0,0,0,0,0,0,0,0,0,0,0,0
40,0,1.0251447968184948,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0.7002940475940704,0,0,0,0,1,0,0,0,0,0,0,0
42,0,0.9069074913859367,0,1,0,0,0,0,0,0,0,0,0,0
43,0,0.8955130651593208,0,1,0,0,0,0,0,0,0,0,0,0
44,0,0.9830670300871134,0,1,0,0,0,0,0,0,0,0,0,0
45,0,0.9432126581668854,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0.9129314869642258,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0.9643748216331005,0,0,0,0,0,0,0,0,0,0,0,0
48,0,1.0037743421271443,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0.8457048386335373,0,1,0,0,0,0,0,0,0,0,0,0
50,0,0.9945056941360235,0,0,0,0,1,0,0,0,0,0,0,0
51,0,0.8417539596557617,0,0,0,0,1,0,0,0,1,0,0,0
52,0,0.953079741448164,0,0,0,0,0,0,0,0,0,0,0,0
53,0,1.032431997358799,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0.9891880014911294,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0.8643385469913483,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0.966540053486824,0,0,0,0,0,0,0,0,0,0,0,0
57,1,1.0139667987823486,0,0,0,0,0,1,0,0,0,0,0,0
58,1,0.8114483207464218,0,0,0,0,0,0,0,0,0,0,0,0
59,1,1.0031073961872607,0,1,0,0,1,1,0,0,0,0,0,0
