,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.9935506004840136,1,0,0,1,0,0,0,0,1,1,0,0
1,0,0.8241730630397797,1,1,0,0,0,0,0,0,1,1,0,0
2,0,1.0312431119382381,1,1,0,0,0,0,0,1,1,1,0,0
3,0,1.1140107214450836,1,0,0,1,0,0,0,0,1,1,0,0
4,0,0.9990692971623503,1,1,0,0,0,0,0,0,1,1,0,0
5,0,1.0440248139202595,1,1,0,0,0,0,0,0,1,1,0,1
6,0,1.0034261532127857,1,0,1,1,0,0,0,0,1,1,0,0
7,0,1.0418875887989998,1,1,0,1,0,0,0,1,1,1,0,0
8,0,0.8976603299379349,1,1,1,1,0,1,0,0,1,1,0,0
9,0,0.8252309858798981,1,1,0,0,0,0,0,0,1,1,0,1
10,0,0.771130234003067,1,0,1,1,0,0,0,0,1,0,0,0
11,0,0.9056543260812759,1,1,1,1,0,1,0,0,1,1,0,0
12,0,0.854808896780014,1,0,0,1,0,1,0,0,1,1,0,0
13,0,0.9788765590637922,1,0,1,1,0,0,0,0,0,1,0,0
14,0,0.8318082839250565,1,1,0,0,0,0,0,1,1,1,0,0
15,0,0.8810617625713348,1,1,0,0,0,0,0,0,1,1,0,1
16,0,0.8142576068639755,1,1,1,1,0,1,0,0,1,1,0,1
17,0,0.9590758793056011,1,0,1,1,0,0,0,0,1,1,0,0
18,0,0.9160177335143089,1,0,0,1,0,0,0,0,0,0,0,0
19,0,0.9508944489061832,1,1,0,0,0,0,0,1,1,1,0,0
20,0,0.8343958854675293,1,1,0,0,0,0,0,0,1,0,0,0
21,0,0.9901135992258787,1,0,1,0,0,0,0,0,1,0,0,0
22,0,0.9823635052889585,1,1,1,0,0,0,0,0,1,1,0,0
23,0,0.8429653942584991,1,1,0,1,0,0,0,1,1,1,0,1
24,0,1.019279571250081,1,1,0,0,0,0,0,0,1,1,0,0
25,0,0.9807233531028032,1,1,0,0,0,0,0,0,1,1,0,0
26,0,0.9557354375720024,1,0,0,1,0,0,0,0,1,1,0,0
27,0,0.9943546988070011,1,1,0,0,0,0,0,0,1,1,0,0
28,0,0.9458747170865536,1,0,0,0,0,0,0,0,1,1,0,0
29,0,0.9395918175578117,1,1,0,1,0,0,0,1,1,1,0,0
30,0,0.932509072124958,1,1,1,1,0,0,0,1,1,0,0,0
31,0,0.8909230902791023,1,1,0,0,0,0,0,0,1,1,0,0
32,0,0.975685590878129,1,1,0,1,0,0,0,0,1,1,0,0
33,0,0.9466950371861458,1,0,1,1,0,0,0,0,1,0,0,0
34,0,0.9631084613502026,1,1,1,1,0,0,0,0,1,1,0,0
35,0,0.899521216750145,1,1,1,0,0,0,0,0,1,1,0,1
36,0,0.9645828641951084,1,0,1,1,0,0,0,0,1,0,0,0
37,0,0.9898075740784407,1,0,1,1,0,0,0,0,1,0,0,0
38,0,0.9250862151384354,1,1,0,0,0,0,0,1,1,1,0,0
39,0,0.8950761333107948,1,1,1,1,0,0,0,0,1,1,0,0
40,0,0.8688944727182388,1,1,1,1,0,0,0,0,1,1,0,0
41,0,0.8567091971635818,1,1,0,0,0,0,0,0,1,0,0,0
42,0,0.888478234410286,1,0,1,1,0,0,0,1,1,1,0,0
43,0,0.8688971698284149,1,0,0,0,0,0,0,1,1,1,0,0
44,0,1.0189448185265064,1,0,0,0,0,0,0,0,1,0,0,0
45,0,0.9910814194008708,1,1,1,1,0,0,0,0,1,1,0,0
46,0,0.9815781638026237,1,1,0,0,0,0,0,0,1,1,0,0
47,0,1.027113290503621,1,1,0,0,0,0,0,1,1,1,0,0
48,0,1.030242707580328,1,1,0,0,0,0,0,1,1,0,0,0
49,0,0.7555630952119827,1,0,1,1,1,1,0,1,1,1,0,0
50,0,0.859918624162674,1,1,0,1,0,1,0,0,1,1,0,0
51,0,0.8284565508365631,1,1,1,1,0,1,0,0,0,1,0,0
52,0,0.9195173382759094,1,1,0,0,0,0,0,0,1,1,0,0
53,0,0.9808010756969452,1,1,1,0,0,0,0,0,1,1,0,0
54,0,0.9171698614954948,1,1,0,0,0,0,0,0,1,1,0,0
55,0,0.9143181592226028,1,1,1,1,0,1,0,0,1,1,0,1
56,0,0.9753529448062181,1,1,1,1,0,0,0,0,1,1,0,0
57,0,0.9313527047634125,1,1,0,1,0,0,0,0,1,0,0,0
58,0,0.8465050905942917,1,1,0,1,0,0,0,0,1,1,0,0
59,0,0.8544062674045563,1,0,0,1,0,0,0,0,1,1,0,0
60,0,0.9381935298442841,1,0,0,1,0,1,0,0,1,0,0,0
61,0,0.7799074351787567,1,0,0,1,0,0,0,0,1,0,0,0
62,0,0.9440230578184128,1,1,1,1,0,1,0,0,1,1,0,1
63,0,0.9094809293746948,1,1,0,1,0,0,0,0,1,0,0,0
64,0,0.8110737800598145,1,1,1,1,0,1,0,0,1,1,0,0
65,0,0.8772343620657921,1,1,1,0,0,0,0,0,1,1,0,0
66,0,0.8908583670854568,1,0,1,1,0,0,0,0,1,0,0,0
67,0,0.771705836057663,1,0,0,1,0,0,0,0,1,0,0,0
68,0,0.9101697355508804,1,0,0,1,0,1,0,0,0,0,0,0
69,0,0.8064867556095123,1,0,0,0,0,0,0,0,1,0,0,0
70,0,0.7388415932655334,1,0,1,1,0,1,0,0,0,1,0,1
71,0,0.9754417426884174,1,1,0,0,0,0,0,0,1,0,0,0
72,0,0.9520287849009037,1,0,0,1,0,0,0,0,0,0,0,0
73,0,0.8814767152070999,1,1,0,1,0,0,0,0,1,1,0,0
74,0,0.9064335748553276,1,0,0,0,0,0,0,0,0,0,0,0
75,0,0.8726636469364166,1,1,0,1,0,0,0,0,1,0,0,0
76,0,0.9488314054906368,1,0,0,1,0,1,0,0,1,0,0,0
77,0,0.9538038186728954,1,0,0,1,0,0,0,0,1,0,0,0
78,0,0.9155803471803665,1,0,0,1,0,0,0,0,0,0,0,0
79,0,0.9075595438480377,1,0,0,1,0,0,0,0,1,1,0,0
80,0,0.7896649092435837,1,0,0,1,0,0,0,0,1,1,0,0
81,0,0.8838404938578606,1,1,0,1,0,0,0,0,1,0,0,0
82,0,0.884692907333374,1,0,0,1,0,0,0,0,0,0,0,0
83,0,0.887068122625351,1,0,0,1,0,0,0,0,1,0,0,0
84,0,0.8903425484895706,1,0,0,1,0,0,0,0,0,1,0,0
85,0,0.8903425484895706,1,0,0,1,0,0,0,0,0,1,0,0
86,0,0.8740275502204895,1,0,0,1,0,0,0,0,1,0,0,0
87,0,0.8903425484895706,1,0,0,1,0,0,0,0,0,0,0,0
88,0,0.8937547653913498,1,0,0,1,0,0,0,0,1,0,0,0
89,0,0.9612538926303387,1,0,1,1,0,1,0,1,1,0,0,0
90,0,0.9028446152806282,1,0,0,1,0,0,0,0,1,1,0,0
91,0,0.9122264981269836,1,1,0,1,0,0,0,0,1,1,0,0
92,0,0.8837266564369202,1,0,1,1,0,1,0,1,0,0,0,0
93,0,0.9350514337420464,1,0,0,1,0,1,0,0,0,0,0,0
94,0,0.8906162902712822,1,0,1,1,0,0,0,0,1,0,0,0
95,0,0.7516833990812302,1,0,1,1,0,1,0,0,1,1,0,0
96,0,0.9510886669158936,1,0,0,1,0,0,0,0,1,0,0,0
97,0,0.8643417358398438,1,1,0,1,0,0,0,0,1,0,0,0
98,0,0.9399001002311707,1,0,0,1,0,1,1,0,1,1,0,0
99,0,0.9692150168120861,1,0,0,0,0,0,0,0,0,0,0,0
100,0,0.9663974978029728,1,0,0,1,0,0,0,0,0,0,0,0
101,0,0.8490259945392609,1,0,0,1,0,0,0,0,0,0,0,0
102,0,0.9338781610131264,1,0,0,1,0,0,0,0,0,0,0,0
103,0,0.8459250628948212,1,1,0,1,0,0,0,0,1,1,0,0
104,0,0.901125967502594,1,0,0,1,0,0,0,0,0,0,0,0
105,0,0.8977845087647438,1,0,0,1,0,0,0,0,1,1,0,0
106,0,0.8599038273096085,1,1,0,1,0,0,0,0,1,1,0,0
107,0,0.839143693447113,1,0,1,1,0,0,0,0,1,0,0,0
108,0,0.9548001289367676,1,1,0,0,0,0,0,0,1,1,0,0
109,0,0.9621494375169277,1,1,0,1,0,0,0,0,1,1,0,0
110,0,0.8427538424730301,1,1,0,1,0,0,0,0,1,1,0,0
