,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,1,0.7878976166248322,0,1,0,0,0,0,0,0,0,1,1,0
1,1,0.6311011612415314,1,1,0,0,0,0,0,0,0,0,1,0
2,1,0.6733179092407227,1,1,1,1,1,1,0,0,1,1,1,1
3,1,0.7709959447383881,1,1,1,1,1,1,0,0,0,1,1,1
4,1,0.7613208889961243,1,1,1,1,1,1,0,0,1,1,1,1
5,1,0.7523925751447678,1,1,1,1,1,1,0,0,1,1,1,0
6,1,0.7674109935760498,1,1,1,1,1,1,0,0,0,0,1,0
7,1,0.7686028629541397,1,1,1,0,0,0,0,0,1,1,1,0
8,1,0.7546907812356949,1,1,0,1,1,1,0,0,1,1,1,1
9,1,0.7963384687900543,1,1,1,1,1,1,0,0,1,1,1,1
10,1,0.7343895137310028,1,1,1,1,1,1,0,0,1,1,1,1
11,1,0.7151407599449158,1,1,1,1,0,1,0,0,0,1,1,1
12,1,0.7128086090087891,1,1,0,0,0,0,0,0,0,0,1,0
13,1,0.7553064078092575,1,0,0,1,0,1,0,1,1,1,1,1
14,1,0.6881843507289886,1,1,1,1,1,1,0,0,1,1,1,1
15,1,0.6834960579872131,1,1,1,1,1,1,0,0,1,1,1,1
16,1,0.6531731188297272,1,1,1,1,1,1,0,0,1,1,1,1
17,1,0.6710028648376465,1,1,1,1,1,1,0,0,1,1,1,1
18,1,0.7258765399456024,1,1,1,1,1,1,0,0,1,1,1,1
19,1,0.755571037530899,1,0,0,0,0,0,0,0,0,1,1,1
20,1,0.7657434642314911,1,1,1,1,1,1,0,0,1,1,1,1
21,1,0.8714806735515594,1,1,1,1,1,1,0,0,1,1,1,0
22,1,0.7028965055942535,1,1,1,1,1,1,0,0,1,1,1,1
23,1,0.7162517011165619,1,1,1,1,1,1,0,0,1,1,1,1
24,1,0.7756102234125137,1,1,1,1,1,1,0,0,1,1,1,1
25,1,0.8504338264465332,1,1,1,1,1,1,0,0,1,1,1,1
26,1,0.9178684279322624,1,1,1,1,1,1,0,0,1,1,1,0
27,1,0.7282455861568451,1,1,1,1,1,0,0,0,1,1,1,0
28,1,0.7017425894737244,1,1,1,1,1,1,0,0,1,1,1,1
29,1,0.6764148771762848,1,0,0,0,0,0,0,0,0,0,1,0
30,1,0.6629177927970886,1,1,1,1,1,1,0,0,1,1,1,1
31,1,0.7265774607658386,0,0,1,1,1,1,0,0,1,1,1,1
32,1,0.8701495677232742,1,1,1,1,1,1,0,0,1,1,1,0
33,1,0.7294417917728424,1,1,1,1,1,1,0,0,1,1,1,1
34,1,0.751786932349205,1,1,1,1,0,0,0,0,1,1,1,0
35,1,0.6085113883018494,1,1,1,1,1,1,0,0,1,1,1,1
36,1,0.6060408353805542,0,1,0,0,0,0,0,0,1,1,1,0
37,1,0.8227589130401611,1,1,0,1,1,1,0,0,1,1,1,0
38,1,0.6991002857685089,1,1,1,1,1,1,0,0,1,1,1,1
39,1,0.7863842993974686,1,1,1,1,1,1,0,0,1,1,1,1
40,1,0.7531803399324417,1,1,1,1,1,0,0,0,0,1,1,1
41,1,0.6588150858879089,1,1,1,1,1,1,0,0,1,1,1,1
42,1,0.7132537961006165,1,1,1,1,1,1,0,0,1,1,1,1
43,1,0.9364684373140335,1,0,0,1,1,1,0,0,1,1,1,1
44,1,0.7702839076519012,1,1,1,1,1,1,0,0,0,1,1,1
45,1,0.6143316626548767,1,1,1,0,1,1,0,0,0,0,1,0
46,1,0.6555708348751068,1,1,1,1,1,1,0,0,1,1,1,1
47,1,0.6613258421421051,1,1,0,0,0,0,0,0,1,1,1,1
48,1,0.7369087636470795,1,1,1,1,1,1,0,0,0,1,1,1
49,1,0.7624683827161789,1,1,1,1,1,1,0,0,1,1,1,1
50,1,0.7591601461172104,1,1,1,1,1,0,0,0,1,1,1,1
51,1,0.6930393278598785,1,1,0,0,0,0,0,0,0,1,1,0
52,1,0.7213734984397888,1,1,1,1,1,1,0,0,0,1,1,1
53,1,0.727132648229599,1,1,1,1,1,1,0,0,1,1,1,1
54,1,0.6655988097190857,1,1,1,1,1,1,0,0,1,1,1,1
55,1,0.672578364610672,1,1,1,0,0,0,0,0,1,1,1,0
56,1,0.6645735502243042,1,0,0,0,0,0,0,0,1,0,1,0
57,1,0.7572595924139023,0,0,0,0,0,0,0,0,0,0,0,0
58,1,0.707300990819931,1,1,1,1,1,0,0,0,0,1,1,1
59,1,0.7367945611476898,1,1,1,1,1,1,0,0,1,1,1,1
60,1,0.6979909241199493,1,0,0,0,0,0,0,0,0,0,1,0
61,1,0.7102195918560028,1,1,1,1,1,1,0,0,0,1,1,1
62,1,0.7500040829181671,1,1,1,1,1,1,0,0,1,0,1,1
63,1,0.7526441663503647,1,0,0,0,0,1,0,0,0,0,1,0
64,1,0.6888644993305206,1,1,1,1,1,1,0,0,1,1,1,1
65,1,0.7926270514726639,1,1,1,1,1,1,0,0,0,1,1,0
66,1,0.6389971375465393,1,1,1,1,1,1,0,0,1,1,1,1
67,1,0.715331643819809,1,1,1,1,1,1,0,0,0,1,1,1
68,1,0.7133727967739105,1,0,0,0,0,0,0,0,0,0,0,0
69,1,0.8956309482455254,1,1,1,1,1,1,0,0,0,1,1,0
70,1,0.681950718164444,1,1,1,1,1,0,0,0,1,1,1,0
71,1,0.9263899698853493,1,1,1,1,1,1,0,0,1,1,1,0
72,1,0.6619599461555481,1,1,1,1,1,1,0,0,1,1,1,1
73,1,0.7358813881874084,1,1,0,0,1,0,0,0,0,0,1,0
74,1,0.6926775276660919,1,0,0,0,0,0,0,0,1,0,0,0
75,1,0.6892672479152679,1,1,1,1,1,1,0,0,1,1,1,1
76,1,0.785906195640564,1,1,0,1,1,1,0,0,1,1,1,1
77,1,0.7693224251270294,1,1,1,1,1,1,0,0,1,1,1,1
78,1,0.7371546924114227,1,1,1,1,1,1,0,0,1,1,1,1
79,1,0.7433607876300812,1,1,1,1,1,1,0,0,1,1,1,1
80,1,0.706972748041153,1,1,1,1,1,1,0,0,1,1,1,1
81,1,0.6872101724147797,1,1,1,1,1,1,0,0,1,1,1,1
