,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-003,q_chatgpt
0,163515,i am not good enough i m doing it wrong and i feel completely overwhelmed that i will never reach enlightenment and that i will never understand the practise or life at that,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,f,a,a,a,a,a,d,d
1,99987,i automatically feel too vulnerable,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
2,325931,i have been avoiding it and i may still feel fearful for other reasons but i can go and i can just be myself and try,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
3,50017,i know he has lots of stuff to do and i feel hesitant bugging him too much about what i did,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,d
4,262567,i just feel like im constantly being tortured,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,b,d,a,a,a,a,a,a,d
5,191445,i was feeling particularly overwhelmed and needed to figure out how i could keep my writing life organized,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,f,a,f,a,a,a,a,d
6,9080,i was feeling quite reluctant to feeling tired and all but he managed to get me out on the pretenses that jerry was leaving the next day and won t be back for two weeks in addition i haven t seen him for three years now,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,d,a,a,a,a,a,e,d
7,100525,i know is the end result that it makes me feel vulnerable and i am more willing to sacrifice to make the relationship work and i want to allot time from my busy schedule to see these people and i trust and confide in them,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,e,e,e,a,a,a,e,e
8,110792,i finally stopped feeling terrified and felt ready,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
9,151018,i can continue feeling uncomfortable and not lash out at someone or something that i think is causing me discomfort i m able to see where the discomfort started,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,b,b,b,a,a,a,a,a,a,f
10,344756,i understand that so many creative people feel timid or rude for promoting themselves,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,b,a,a,a,a,a,a,a,a,d
11,253808,i feel agitated because i m just a regular dude like everybody else and of course i have emotions and everything and to even think that i don t is extremely foolish,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,b,b,b,b,a,a,a,a,a,b
12,216327,i now know from experience that being a homeless woman can leave you feeling very vulnerable afraid and not knowing where to turn,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
