,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,182,"text1: i'm at lotte world for halloween and there are alot of couples here erm kdrama max 😂

text2: lotte really decided to make me cry today i love lotte so much pls @GOLDENXAVERY 🥺🥺🥺

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,a,a,b
1,387,"text1: #WinBrawlSkins to get new skins for carl leon and primo

text2: #TheMandalorian is primo #StarWars for me.

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
2,83,"text1: Trivia at Elation tonight. Come on out at 6:30. The theme is 90s impostor movies.

text2: When you get impostor 5 times in a row and then no one believes you when you're a crewmate because you are, and I quote, ""something of a serial killer"" 😔

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,b,b,a,b
3,382,"text1: Only girls that ain't blood &amp; kould kall me bro is @_larkiee @Nisha0619 so when I'm up ion need no bitches tryna kall me brudda, bro, brother, primo , kousin nunna that😂👋🏽

text2: Westbrook a Washington (+ una prima scelta protetta al primo round) e Wall a Houston. HARDEN, WALL E forse COUSINS... 😋 #SkySport #NBATrades #NbaTipo

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,b,a,a,b
4,65,"text1: Mindset is everything...it can mean the difference between succeeding and being held back. If I've been invited into the room, I belong there.- Marcella Barriére of @Google responding to questions of how to manage impostor syndrome at today's Women of Influence #naiopmaevent

text2: wait i accidently deleted my kyungho impostor tweet 😳😭😭😭😭

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
5,246,"text1: November at its tail..what will you say entering in last 4 weeks of 2019 ? I don't know about you.. “I WILL praise You, O Lord, with my whole heart; I will show forth (recount and tell aloud) all Your marvelous works and wonderful deeds! -Psalm 9:1-AMPC 🙏🏾🙏🏾

text2: In Wisconsin, 64 of 72 counties completed canvassing, resulting in Biden gaining 167 votes, Trump 26. If Trump pays for a recount he will lose again by more. He is about to lose Georgia again, so spreading lies. It is over. America has spoke. Our democracy works.

word: recount",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,a,a,a,a
6,209,"text1: Is Putin's puppet going down? Thank you Mr. Holmes for your clear and precise recount of these events. Do Republicans and Trumpers truly want to live in an oligarchy-type regime as they have in Russia. Washington and all the fathers of Confederation must be turning in their grave

text2: Ok ok but consider this: if we have a recount, we get to see Turnip lose twice.

word: recount",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,b,b,a,b
7,26,"text1: Having a rough start to my doctorate program in both the student and teacher roles and feel down and ashamed. I spoke to faculty and know how to move forward, but while they believe in me I find it hard to believe in myself. How do you fight impostor syndrome? @AcademicChatter

text2: laughed so hard running from impostor friend around the lab table that I gave myself an headache lmao what a good day

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
8,320,"text1: I've started using my walks to and from tram stops/train stations at night as primo time to practice my spitting and I am so worried that one day someone is gonna see me accidentally dribble down my chin under suburban moonlight

text2: It's either migo or primo 😂 that's all I know

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,a,a,a,a
9,61,"text1: Who else has friend impostor syndrome? Like.. Do they even like me? Do people actually think about me from time to time? Have I done something wrong so they won't talk to me anymore?

text2: / hi guys we're playing hide and seek on among us &lt;3 rules are: - no venting - only report body to get away from the seeker - the impostor is the seeker (obviously) CODE IS HXQFXQ

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,b,a,b,a,a,a,b
10,62,"text1: Q: What can institutions do to combat impostor syndrome? A: from @erichjarvis Institutions must take steps that helps folks feel a greater sense of belonging #sfn19

text2: anyway if i played among us with bts id protect joonie from the impostor

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,b,b,b,a,a,a,b
11,331,"text1: Idk how I have so many cousins but thanks Mom and Dad for making me call your best friends kids primo/a.

text2: C2 Xingqiu, wth am I gonna do with this? Give me the Keqing Or make my greedy ass stop wasting primo

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,b,a,a,b
12,162,"text1: Hoping lotte gets fired tonight on #TheApprentice2019

text2: I stayed up to watch the lotte duty concert and I couldn't sleep after. I was completely amazed by their performance 🥰

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,b,b,a,b
13,75,"text1: Finally started The Good Place season 4 and I'm gonna CALL IT right now that at the end of ep 1 when Michael puts the demon on the train, the Michael that comes back is actually the Bad Place Michael skin suit impostor 👀 Bad Janet's gloating about how they're too stupid to &gt;&gt;

text2: U think ur unlucky, imagine playing among us for three hours and getting impostor twice

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,a,a,b
14,39,"text1: Ausdrucken, einrahmen: „But far from being the product of a pathology, what seems more likely is that impostor syndrome is a rather natural reaction of anyone from a working-class, disadvantaged or minority background to the various biases they face on a daily basis.“ #LastRT

text2: mfs dating a cheater and play among us 24/7 like bro u worried bout the wrong impostor💀

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,b,a,b
15,198,"text1: Mrs B asked me last night what @mrjamesob's story was. I was able to recount his entire life, from birth &amp; adoption to schooling, early career in tailoring to the celeb pages, gaming, early work on TV, to his recent successes on LBC and HTBRIAWGW. I need to lay off the @LBC.

text2: Imagine having to recount millions of ballots by hand, during a pandemic, and you can't lick your thumb. Maddening! God bless those poll workers!!! #GeorgiaVotes #CountAllVotes

word: recount",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,a,b,a,a,a
16,50,"text1: Is it impostor syndrome when you believe you belong at a tech job but everyone else thinks you don't?

text2: itni dair baad impostor banni and i accidentally closed my app :))))

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,a,a,a,a,b
17,67,"text1: Third week of start-up life. Running on adrenaline, knackered, filled with impostor syndrome but also the most motivated and fulfilled I have felt in years, so I'll take that. Keep on trucking.

text2: You're a sneaky little impostor, (Aren't you, aren't you?) You're a sneaky little impostor, (Aren't you, aren't you?) But you're among us, I can feel it, I can feel it in my bones, So why don't you show yourself, And leave us all alone?

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,a,a,b
18,160,"text1: worm update: galil is just zoomin' around the nougat bar. lotte seems to be building a cocoon of sorts?

text2: Why is my tl just tweets from when the lotte concert was happening

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,b,a,a,b
19,24,"text1: Maybe we have to vote for Democrats to get the impostor president out, but when the real reckoning comes, the Democrats will have a lot answer for in light of their cowardice and delay in the face of clear-cut crimes.

text2: My talent in Among Us is getting everyone to suspect a certain person, voting them off all to see that they weren't the impostor. If I'm not the impostor, I'll act like one

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,a,a,a,b
20,42,"text1: hey, so like I've been putting this off for months. Anguish, loneliness, breakdowns, impostor syndrome, more suicidal thoughts, fear, introversion, hiding away There's probably never a good time to say it for everyone, but I just need to be honest with myself. I'm coming out.

text2: Idk how I managed to get impostor 5 times in a row but I'm 4/5 wins soooooo lmao

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,a,a,a,b
21,21,"text1: anyone else's front dumpster all stuffed with the bundts you baked for neighbors that you never delivered cuz of impostor syndrome?? #FridayVibes

text2: why do they always vote me out when i'm not the impostor i'm going crazy rn lol

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,a,a,b
